112,891.84998,52.52468,13.40535,Berlin,3419623
113,37,47.85,12.1333,"Rosenheim, Oberbayern",60137
114,120,50.8167,6.76667,Erftstadt,51201
115,85,50.8,6.48333,"Düren, Rheinland",93486
116,98,48.8844,8.6989,Pforzheim,118805
117,173,49.0047,8.38583,Karlsruhe (Baden),283959
118,217,51.22051,6.81217,Düsseldorf,572663
119,161,50.7667,6.1,Aachen,257821
120,86,50.4333,7.46667,Neuwied,66455
121,233,51.43511,6.76301,Duisburg,504403
122,98,50,8.27111,Mainz,192208
123,193,51.40704,8.05282,"Arnsberg, Westfalen",76643
124,64,51.25051,6.69066,Meerbusch,54758
125,70,48.5712,13.449,Passau,50415
126,120,52.28201,8.04326,Osnabrück,164489
127,150,52.43002,7.06859,Nordhorn,52950
128,58,53.67359,9.9857,Norderstedt,71284
129,221,50.8333,12.9167,Chemnitz,248365
130,168,51.26136,7.16303,Wuppertal,361077
131,119,51.83819,6.61514,Bocholt,73696
132,46,48.75,9.3,Esslingen am Neckar,92261
133,103,53.53112,8.10605,Wilhelmshaven,84118
134,96,50.9667,6.65,"Bergheim, Erft",63509
135,103,50.7333,12.5,Zwickau,98742
136,98,50.7667,6.23333,Stolberg (Rheinland),58781
137,140,49.45,7.75,Kaiserslautern,99033
138,160,51.75529,14.33301,Cottbus,99913
139,72,51,6.8,Pulheim,53884
140,187,52.39384,13.07368,Potsdam,145707
141,148,52.34399,14.54015,Frankfurt (Oder),65242
142,67.66,51.26017,6.51422,Willich,52860
143,87,48.4833,9.21667,Reutlingen,112099
144,51,50.2167,8.61667,Bad Homburg vor der Höhe,52229
145,51,51.53717,7.20108,"Herne, Westfalen",171831
146,78,48.4833,7.93333,Offenburg,58769
147,95,51.0333,7.55,Gummersbach,53183
148,89,51.17038,7.05448,Solingen,164205
149,81,48.4,10.0167,Neu-Ulm,51426
150,63,47.7167,10.3167,Kempten (Allgäu),61454
151,66,51.59307,7.20776,Recklinghausen,122627
152,109,49.4077,8.6908,Heidelberg,142889
153,258,52.02126,8.54577,Bielefeld,328012
154,226,51.67423,7.81598,Hamm (Westfalen),184926
155,34,50.7667,7.18333,Sankt Augustin,56080
156,114,50.9333,11.5833,Jena,102442
157,79,52.11783,8.67958,Herford,64088
158,327,53.07516,8.80777,Bremen,545932
159,126,51.37337,7.67429,Iserlohn,97728
160,100,49.1403,9.22,Heilbronn (Neckar),121416
161,102,50.5,12.1333,"Plauen, Vogtland",69422
162,88,51.65911,7.10642,"Marl, Westfalen",91297
163,298,51.3396,12.3713,Leipzig,498491
